            ADANIENT  ADANIPORTS  APOLLOHOSP  ASIANPAINT  AXISBANK  BAJAJ-AUTO  BAJAJFINSV  BAJFINANCE  BHARTIARTL      BPCL  BRITANNIA     CIPLA  COALINDIA  DIVISLAB   DRREDDY  EICHERMOT    GRASIM   HCLTECH      HDFC  HDFCBANK  HDFCLIFE  HEROMOTOCO  HINDALCO  HINDUNILVR  ICICIBANK  INDUSINDBK      INFY       ITC  JSWSTEEL  KOTAKBANK        LT       M&M    MARUTI  NESTLEIND      NTPC      ONGC  POWERGRID  RELIANCE   SBILIFE      SBIN  SUNPHARMA  TATACONSUM  TATAMOTORS  TATASTEEL       TCS     TECHM     TITAN  ULTRACEMCO       UPL     WIPRO
ADANIENT    1.000000  0.848810    0.788762    0.793363    0.748140  0.579732   -0.038578    0.755426    0.863267   -0.434187  0.513993   0.854798  0.802544   0.388081  0.110187 -0.489905   0.820896  0.635039  0.552659  0.659978 -0.097871  0.071002    0.754349  0.702240    0.878338   0.649731    0.682670  0.713599  0.799667  0.596612   0.812949  0.881178  0.811073  0.686059   0.860753  0.729804  0.697031   0.779705  0.871082  0.887088  0.898890   0.801988    0.787677   -0.113141   0.659607  0.475562  0.865169  0.675614    0.758454  0.390841
ADANIPORTS  0.848810  1.000000    0.881586    0.923984    0.793074  0.774990    0.316872    0.903620    0.748407   -0.072324  0.381098   0.889180  0.579123   0.698212  0.336777 -0.662800   0.943287  0.814010  0.737348  0.811776  0.260193  0.230205    0.903732  0.638758    0.866640   0.722464    0.865941  0.525167  0.918326  0.762704   0.802588  0.751563  0.720642  0.608407   0.723430  0.797589  0.777991   0.816585  0.837347  0.883362  0.840433   0.930898    0.867258    0.303313   0.868067  0.719008  0.843503  0.860972    0.894744  0.716183
APOLLOHOSP  0.788762  0.881586    1.000000    0.936403    0.784744  0.680246    0.301141    0.930114    0.831057   -0.169814  0.510200   0.852748  0.597417   0.715626  0.322634 -0.666592   0.954610  0.918248  0.786653  0.835915  0.166456  0.069462    0.937475  0.624267    0.898468   0.669928    0.915083  0.587616  0.915966  0.756464   0.893127  0.757285  0.744386  0.731534   0.778608  0.879585  0.678643   0.833778  0.888971  0.904238  0.894766   0.941789    0.923651    0.284304   0.922811  0.858020  0.931632  0.928523    0.863726  0.776938
ASIANPAINT  0.793363  0.923984    0.936403    1.000000    0.748206  0.722947    0.381915    0.949903    0.738504   -0.126748  0.427749   0.882868  0.543461   0.778432  0.397666 -0.720699   0.940754  0.889293  0.764439  0.817356  0.242157  0.184235    0.913306  0.675064    0.868113   0.676237    0.917071  0.510883  0.913947  0.804396   0.823051  0.729346  0.756280  0.719153   0.714116  0.808209  0.675653   0.827536  0.873581  0.865364  0.849906   0.955617    0.884280    0.320252   0.919948  0.831341  0.894740  0.890602    0.871434  0.794863
AXISBANK    0.748140  0.793074    0.784744    0.748206    1.000000  0.796087   -0.007996    0.821110    0.752219   -0.017278  0.577840   0.678066  0.746938   0.399904  0.154469 -0.511034   0.858723  0.721320  0.882017  0.910265  0.128349  0.141024    0.787773  0.644054    0.913159   0.925915    0.676179  0.736861  0.846215  0.792592   0.912056  0.805768  0.794169  0.634049   0.815181  0.786850  0.776538   0.620708  0.795970  0.911156  0.810771   0.768370    0.798080    0.026153   0.718204  0.568864  0.821106  0.839544    0.790833  0.473955
BAJAJ-AUTO  0.579732  0.774990    0.680246    0.722947    0.796087  1.000000    0.149169    0.730116    0.560285    0.122625  0.563936   0.706112  0.529402   0.516264  0.472680 -0.601304   0.794387  0.701204  0.779072  0.855476  0.339501  0.454004    0.711638  0.567092    0.767779   0.753641    0.641506  0.608452  0.801250  0.724260   0.750202  0.724756  0.725556  0.568510   0.633741  0.675767  0.789419   0.664520  0.663432  0.746190  0.705100   0.786407    0.750831    0.174813   0.730239  0.493231  0.662987  0.794943    0.783323  0.534462
BAJAJFINSV -0.038578  0.316872    0.301141    0.381915   -0.007996  0.149169    1.000000    0.426339   -0.067695    0.424127 -0.417526   0.137759 -0.284231   0.693852  0.133963 -0.240276   0.251552  0.350834  0.226083  0.135113  0.544605  0.119376    0.398553 -0.082913    0.032454   0.076611    0.497589 -0.438636  0.228945  0.309299  -0.004157 -0.206473 -0.083662 -0.112931  -0.155547  0.244290 -0.009778   0.222337  0.220840  0.082049 -0.009417   0.327136    0.244931    0.823112   0.452714  0.628640  0.107542  0.280805    0.342093  0.706522
BAJFINANCE  0.755426  0.903620    0.930114    0.949903    0.821110  0.730116    0.426339    1.000000    0.747527   -0.018883  0.408218   0.810180  0.572210   0.756939  0.282422 -0.643222   0.933485  0.873371  0.834566  0.858085  0.300679  0.176646    0.921687  0.640217    0.877079   0.797002    0.902306  0.508699  0.889532  0.866653   0.840550  0.714509  0.750912  0.643508   0.714738  0.831985  0.671450   0.789959  0.901997  0.882545  0.818999   0.934687    0.878891    0.347271   0.900457  0.851482  0.886545  0.893729    0.859148  0.790139
BHARTIARTL  0.863267  0.748407    0.831057    0.738504    0.752219  0.560285   -0.067695    0.747527    1.000000   -0.448614  0.605570   0.758120  0.849785   0.323742  0.012053 -0.352353   0.815876  0.677487  0.604181  0.674703 -0.195778 -0.127359    0.769307  0.624801    0.900287   0.614100    0.652103  0.814471  0.754725  0.599648   0.898021  0.846020  0.790998  0.790229   0.926188  0.868620  0.675000   0.761893  0.872202  0.895686  0.931460   0.760325    0.838998   -0.109493   0.668371  0.552194  0.920742  0.717773    0.712583  0.390268
BPCL       -0.434187 -0.072324   -0.169814   -0.126748   -0.017278  0.122625    0.424127   -0.018883   -0.448614    1.000000 -0.237184  -0.256183 -0.502295   0.278184  0.220006  0.097277  -0.107785 -0.019106  0.206893  0.061278  0.729068  0.288370   -0.052047 -0.151499   -0.276644   0.107414   -0.013800 -0.494888 -0.055652  0.024669  -0.253673 -0.447948 -0.391026 -0.348795  -0.464758 -0.220894 -0.183783  -0.289072 -0.216842 -0.240844 -0.396082  -0.094971   -0.239393    0.561831  -0.006259  0.103897 -0.378893  0.071146    0.050528  0.283104
BRITANNIA   0.513993  0.381098    0.510200    0.427749    0.577840  0.563936   -0.417526    0.408218    0.605570   -0.237184  1.000000   0.557765  0.589828   0.099766  0.376776 -0.357694   0.520862  0.518098  0.522404  0.634913 -0.029621  0.279985    0.404625  0.651242    0.622349   0.464504    0.330701  0.772786  0.519779  0.384409   0.663679  0.749629  0.665576  0.713716   0.660831  0.445620  0.479304   0.565972  0.558292  0.559297  0.669463   0.537019    0.488871   -0.385575   0.420355  0.191401  0.567922  0.554927    0.417912  0.115762
CIPLA       0.854798  0.889180    0.852748    0.882868    0.678066  0.706112    0.137759    0.810180    0.758120   -0.256183  0.557765   1.000000  0.543625   0.673849  0.538797 -0.727182   0.875230  0.835489  0.614168  0.750988  0.201429  0.362238    0.829169  0.640128    0.804644   0.546807    0.853779  0.548892  0.871739  0.652224   0.749885  0.810503  0.785037  0.671301   0.707462  0.697218  0.684550   0.897505  0.811497  0.796625  0.879365   0.918864    0.799968    0.165050   0.846060  0.647064  0.825064  0.786331    0.810710  0.652640
COALINDIA   0.802544  0.579123    0.597417    0.543461    0.746938  0.529402   -0.284231    0.572210    0.849785   -0.502295  0.589828   0.543625  1.000000  -0.009924 -0.190304 -0.184477   0.638189  0.399692  0.500676  0.563169 -0.403900 -0.177973    0.548625  0.629697    0.836148   0.682499    0.358911  0.922774  0.596367  0.504122   0.820904  0.850053  0.784408  0.702361   0.941712  0.715605  0.672851   0.561354  0.762863  0.819990  0.806393   0.557266    0.676889   -0.422108   0.386502  0.221183  0.786730  0.518274    0.562870  0.042846
DIVISLAB    0.388081  0.698212    0.715626    0.778432    0.399904  0.516264    0.693852    0.756939    0.323742    0.278184  0.099766   0.673849 -0.009924   1.000000  0.589690 -0.702064   0.687539  0.794310  0.597614  0.601660  0.624607  0.336379    0.742435  0.340806    0.456164   0.373153    0.848054 -0.030288  0.704632  0.617511   0.413969  0.271684  0.321093  0.358931   0.216269  0.497193  0.296596   0.623779  0.533521  0.477273  0.469010   0.783341    0.577938    0.756639   0.822313  0.843958  0.511962  0.723340    0.674194  0.947402
DRREDDY     0.110187  0.336777    0.322634    0.397666    0.154469  0.472680    0.133963    0.282422    0.012053    0.220006  0.376776   0.538797 -0.190304   0.589690  1.000000 -0.634644   0.346921  0.537204  0.350762  0.444714  0.559468  0.645479    0.296150  0.226858    0.165816   0.087737    0.452282  0.004435  0.422689  0.318249   0.158636  0.220035  0.226702  0.278814  -0.002576  0.076775  0.249491   0.437551  0.140824  0.125995  0.234643   0.453662    0.231531    0.325372   0.484181  0.348105  0.172133  0.424112    0.321515  0.522936
